Country,PopulationYoung_Percentage,PopulationOld_Percentage,PopulationDensity,PopulationMidYear,Population,PopulationMidYear_Females,PopulationMidYear_Males,SexRatio_MalesPer100Females
Somalia,46.3,4.4,24.2,15.18,15180000,7.62,7.56,99.3
South Africa,28.8,8.5,47.3,57.4,57400000,29.24,28.16,96.3
South America,23.4,12.8,24.5,428.24,428240000,217.02,211.22,97.3
South Sudan,41.5,5.1,21.1,12.92,12920000,6.44,6.47,100.5
South-central Asia,28.4,9,190.1,1963.31,1963310000,954.11,1009.2,105.8
South-eastern Asia,26,10.2,151,655.64,655640000,328.32,327.31,99.7
Southern Africa,29.6,8.2,24.9,65.97,65970000,33.63,32.35,96.2
Southern Asia,28.3,9.1,295.5,1891.45,1891450000,917.8,973.66,106.1
Southern Europe,14.2,27.3,117.3,151.86,151860000,77.67,74.19,95.5
Spain,14.6,25.8,93,46.4,46400000,23.64,22.76,96.3
Sri Lanka,23.7,15.4,334.1,20.95,20950000,10.89,10.06,92.4
State of Palestine,39.3,4.7,839.3,5.05,5050000,2.49,2.56,102.9
Sub-Saharan Africa,42.5,4.8,48,1050.14,1050140000,526.3,523.84,99.5
Sudan,40.5,5.6,23.5,41.51,41510000,20.76,20.75,99.9
Suriname,26.2,10.6,3.6,0.57,570000,0.28,0.29,100.7
Sweden,17.7,25.6,24.3,9.98,9980000,4.98,5,100.3
Switzerland,14.9,24.5,216.2,8.54,8540000,4.31,4.24,98.3
Syrian Arab Republic,35.7,7.1,99.6,18.28,18280000,9.06,9.23,101.9
Tajikistan,35.3,6,65.1,9.11,9110000,4.54,4.57,100.8
TFYR of Macedonia,16.6,19.9,82.7,2.09,2090000,1.04,1.04,100
Thailand,17,17.6,135.4,69.18,69180000,35.47,33.71,95
Timor-Leste,43.5,5.5,89,1.32,1320000,0.65,0.67,103.2
Togo,41.3,4.6,146.9,7.99,7990000,4.01,3.98,99.4
Tokelau,,,131.9,0,0,,,
Tonga,35.4,8.7,151.4,0.11,110000,0.05,0.05,100.7
"Total, all countries or areas",25.8,13,58.7,7632.82,7632820000,3782.1,3850.72,101.8
Trinidad and Tobago,20.5,15.5,267.6,1.37,1370000,0.7,0.68,96.9
Tunisia,24,12.6,75,11.66,11660000,5.9,5.76,97.7
Turkey,24.6,12.3,106.4,81.92,81920000,41.55,40.37,97.2
Turkmenistan,30.8,7.6,12.5,5.85,5850000,2.97,2.88,97
Turks and Caicos Islands,,,37.9,0.04,40000,,,
Tuvalu,,,376.2,0.01,10000,,,
Uganda,47.4,3.3,221.6,44.27,44270000,22.25,22.02,99
Ukraine,15.8,23.5,76,44.01,44010000,23.66,20.35,86
United Arab Emirates,13.9,2.6,114.1,9.54,9540000,2.67,6.88,257.9
United Kingdom,17.8,24.2,275.2,66.57,66570000,33.71,32.87,97.5
United Rep. of Tanzania,44.7,4.7,66.7,59.09,59090000,29.86,29.23,97.9
United States of America,18.8,22,35.7,326.77,326770000,165,161.77,98
United States Virgin Islands,20,26,299.8,0.1,100000,0.05,0.05,91
Uruguay,20.9,19.7,19.8,3.47,3470000,1.79,1.68,93.5
Uzbekistan,28,7.9,76.1,32.37,32370000,16.23,16.14,99.4
Vanuatu,35.8,6.8,23.1,0.28,280000,0.14,0.14,102.3
Venezuela (Boliv. Rep. of),27.3,10.2,36.7,32.38,32380000,16.28,16.1,98.9
Viet Nam,23,11.6,311.2,96.49,96490000,48.74,47.76,98
Wallis and Futuna Islands,,,83.5,0.01,10000,,,
Western Africa,43.6,4.6,63,381.98,381980000,189.67,192.31,101.4
Western Asia,29.1,8.4,56.7,272.3,272300000,129.85,142.45,109.7
Western Europe,15.4,26.8,178.9,194.07,194070000,98.39,95.68,97.2
Western Sahara,27.7,5.7,2.1,0.57,570000,0.27,0.3,109.9
Yemen,39.6,4.6,54.8,28.92,28920000,14.31,14.61,102.1
Zambia,44.5,3.7,23.7,17.61,17610000,8.87,8.74,98.5
Zimbabwe,41,4.2,43.7,16.91,16910000,8.67,8.24,95.1
Grand Total,6338.9,2995.6,111001.1,34196.63,34196630000,16938.05,17257.65,23468.8
